Unnamed: 0,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
179,Howell Kent,Dir,S - Sale,N.A.,$3.93,"-30,000","-$117,750","50,000",-38%,2021-07-06 16:06:34,2021-07-01
180,Samartsev Igor,"SVP, CTO",S - Sale,IPGP,$211.61,-500,"-$105,805","932,535",0%,2021-07-06 16:06:09,2021-07-01
181,Gerard Christopher,"Pres, COO",S - Sale,AMED,$250.90,"-1,250","-$313,622","39,385",-3%,2021-07-06 16:01:47,2021-07-01
182,Zecchini Edward J,Dir,S - Sale+OE,CYRX,$62.74,"-5,000","-$313,686","35,023",-12%,2021-07-06 15:53:46,2021-07-01
183,Fallon Kieran John,EVP,S - Sale,PNC,$191.47,-125,"-$23,934","8,418",-1%,2021-07-06 15:49:45,2021-07-01
184,Downing Scott Lowell,Dir,P - Purchase,CBAN,$0.00,"+3,000",+$0,"221,007",+1%,2021-07-06 15:39:52,2021-07-01
185,Sapphire Holding S.A R.L.,10%,S - Sale,WSC,$27.75,"-2,100,000","-$58,275,000","23,798,390",-8%,2021-07-06 15:28:52,2021-07-02
186,Robertson Stephen,"Dir, 10%",S - Sale,WSC,$27.75,"-2,100,000","-$58,275,000","23,898,390",-8%,2021-07-06 15:28:03,2021-07-06
187,Vinciarelli Patrizio,"COB, CEO, 10%",S - Sale,VICR,$108.00,"-10,000","-$1,080,002","9,930,893",0%,2021-07-06 15:24:13,2021-07-02
188,Williamson Henry G Jr,Dir,P - Purchase,HOFT,$34.81,"+5,000","+$174,050","51,585",+11%,2021-07-06 15:22:49,2021-07-02
189,Mark & Robyn Jones Descendants Trust 2014,"Member of 10% owner group, 10%",S - Sale+OE,GSHD,$127.79,"-32,034","-$4,093,470","12,914,110",0%,2021-07-06 15:18:48,2021-07-02
190,Scartozzi Stephen P,Dir,P - Purchase,MLVF,$18.76,+154,"+$2,897","18,054",+1%,2021-07-06 15:16:44,2021-07-01
191,Leitzell Cynthia F,Dir,P - Purchase,MLVF,$18.76,+156,"+$2,917","18,795",+1%,2021-07-06 15:15:33,2021-07-01
192,Kent Howard,Dir,P - Purchase,MLVF,$18.76,+204,"+$3,819","197,208",0%,2021-07-06 15:14:46,2021-07-01
193,Fish Andrew D.,Dir,P - Purchase,MLVF,$18.76,+167,"+$3,136","12,166",+1%,2021-07-06 15:14:01,2021-07-01
194,Feinstein Norman,Dir,P - Purchase,MLVF,$18.76,+154,"+$2,897","17,758",+1%,2021-07-06 15:13:11,2021-07-01
195,Corelli Julia D,Dir,P - Purchase,MLVF,$18.76,+142,"+$2,659","15,762",+1%,2021-07-06 15:11:42,2021-07-01
196,Mark & Robyn Jones Descendants Trust 2014,"Member of 10% owner group, 10%",S - Sale+OE,GSHD,$127.47,"-66,827","-$8,518,734","12,946,144",-1%,2021-07-06 15:11:08,2021-07-01
197,Barrett James W,Dir,P - Purchase,MLVF,$18.76,+142,"+$2,659","18,752",+1%,2021-07-06 15:10:59,2021-07-01
198,Larocque Peter,"Pres, N.A. Distribution",S - Sale+OE,SNX,$120.95,"-3,062","-$370,343","46,748",-6%,2021-07-06 15:09:05,2021-07-02
199,Gani Marcel,Dir,S - Sale,SEDG,$275.17,"-3,000","-$825,510","23,717",-11%,2021-07-06 15:00:47,2021-07-01
200,Hargreaves Bradley S,"VP Technology, Operations, 10%",S - Sale,CMXC,$0.26,"-9,000","-$2,340","5,608,252",0%,2021-07-06 14:21:08,2021-07-01
201,Kobayashi Michael K,"Pres, Ops., Technology",S - Sale,ROST,$125.13,-63,"-$7,883","82,618",0%,2021-07-06 13:42:38,2021-07-02
202,Luther Sherri R,"VP Corp, CFO",S - Sale+OE,LSCC,$54.89,"-4,375","-$240,144","116,004",-4%,2021-07-06 13:32:04,2021-07-02
203,Hershberger Rodney,Dir,S - Sale,PGTI,$23.08,"-1,100","-$25,388","1,383,954",0%,2021-07-06 13:24:29,2021-07-02
204,Lilly Endowment Inc,10%,S - Sale,LLY,$232.94,"-202,102","-$47,077,749","109,197,100",0%,2021-07-06 13:05:18,2021-07-02
205,Realty Advisors Inc,10%,S - Sale,GBR,$6.03,"-51,319","-$309,274","1,503,147",-3%,2021-07-06 12:52:53,2021-07-01
206,Mansueto Joseph D,"Exec COB, 10%",S - Sale,MORN,$255.92,"-12,147","-$3,108,673","18,575,769",0%,2021-07-06 12:50:47,2021-07-01
207,Lawson David C,"EVP, Chief H.R. Officer",P - Purchase,COLB,$31.64,+190,"+$6,012","19,225",+1%,2021-07-06 12:49:22,2021-07-06
208,Deer Aaron James,EVP CFO,P - Purchase,COLB,$31.64,+711,"+$22,496","7,082",+11%,2021-07-06 12:49:07,2021-07-06
209,Baruffi Kumi Yamamoto,"EVP, GC",P - Purchase,COLB,$31.64,+304,"+$9,619","21,152",+1%,2021-07-06 12:48:38,2021-07-06
210,Werdann Michael A,"SVP, World Wide Sales",S - Sale+OE,NTGR,$37.57,"-1,596","-$59,962","31,675",-5%,2021-07-06 12:46:41,2021-07-02
211,Nakazawa Michele,"EVP, CFO",S - Sale,TLS,$32.81,"-44,355","-$1,455,288","448,896",-9%,2021-07-06 12:41:13,2021-07-01
212,McCann Christopher G,"CEO, Pres, 10%",S - Sale+OE,FLWS,$32.93,"-35,700","-$1,175,434","940,285",-4%,2021-07-06 12:27:25,2021-07-01
213,Wolcott Arthur S,COB,P - Purchase,SENEA,$53.66,+762,"+$40,889","38,035",+2%,2021-07-06 12:01:20,2021-07-01
214,Bakker Lex,"SVP, Chief Development Officer",S - Sale,MRUS,$21.05,"-3,860","-$81,242","8,668",-31%,2021-07-06 12:00:55,2021-07-01
215,Hollingshead James,"Pres, Sleep Business",S - Sale,RMD,$247.30,"-2,400","-$593,513","75,938",-3%,2021-07-06 11:59:36,2021-07-01
216,Downie Clive,"SVP, GM, Consumer",S - Sale+OE,U,$106.19,"-33,333","-$3,539,594","134,446",-20%,2021-07-06 11:57:05,2021-07-02
217,Riccitiello John S.,"Pres, CEO",S - Sale+OE,U,$106.82,"-229,372","-$24,502,357","4,376,776",-5%,2021-07-06 11:55:14,2021-07-01
218,Stahl Murray,Dir,P - Purchase,TPL,"$1,593.00",+27,"+$43,011","385,082",0%,2021-07-06 11:50:38,2021-07-02
219,Laclair Jennifer A.,CFO,S - Sale,ALLY,$50.00,"-3,333","-$166,650","98,768",-3%,2021-07-06 10:52:58,2021-07-01
220,Schugel Jason E.,Chief Risk Officer,S - Sale,ALLY,$50.00,"-2,500","-$125,000","99,036",-2%,2021-07-06 10:52:01,2021-07-01
221,Timmerman Douglas R.,"Pres, Auto Finance",S - Sale,ALLY,$50.00,"-2,917","-$145,850","143,939",-2%,2021-07-06 10:49:16,2021-07-01
222,Sullivan John James,Dir,S - Sale,MLAB,$267.44,"-1,250","-$334,300","54,299",-2%,2021-07-06 10:48:55,2021-07-01
223,Morais Diane E.,"Pres, Ally Bank",S - Sale,ALLY,$50.00,"-4,125","-$206,250","224,190",-2%,2021-07-06 10:48:22,2021-07-01
224,Rose Stuart A,Exec COB,S - Sale,REX,$92.08,"-1,000","-$92,080","587,527",0%,2021-07-06 09:51:42,2021-07-01
225,Bennington Charles Warren,Former Director,S - Sale,SOBR,$3.80,-500,"-$1,901","455,933",0%,2021-07-06 09:44:23,2021-07-01
226,Cardenas Ricardo,"Pres, COO",S - Sale+OE,DRI,$147.08,"-10,652","-$1,566,714","36,369",-23%,2021-07-06 09:43:42,2021-07-01
227,Wallace Amber B,"SVP, Chief Retail, Marketing",P - Purchase,FMNB,$15.91,+13,+$207,"30,962",0%,2021-07-06 09:34:47,2021-07-01
228,Sabat Joseph W,"VP, Chief Accounting Officer",P - Purchase,FMNB,$15.91,+79,"+$1,257","21,720",0%,2021-07-06 09:32:06,2021-07-01
229,Nicastro Mark A,"SVP, Human Resource Dir",P - Purchase,FMNB,$15.91,+6,+$95,"20,738",0%,2021-07-06 09:17:17,2021-07-01
230,Muransky Edward,Dir,P - Purchase,FMNB,$15.91,+236,"+$3,755","43,418",+1%,2021-07-06 09:14:32,2021-07-01
231,Moore Terry A,Dir,P - Purchase,FMNB,$0.00,+301,+$0,"55,537",+1%,2021-07-06 09:11:04,2021-07-01
232,Helmick Kevin J,"Pres, CEO",P - Purchase,FMNB,$15.91,+31,+$493,"134,737",0%,2021-07-06 09:05:12,2021-07-01
233,Australiansuper Pty Ltd,10%,P - Purchase,CRN,$0.64,"+5,400","+$3,456","188,344,973",0%,2021-07-06 08:55:24,2021-07-01
234,Australiansuper Pty Ltd,10%,S - Sale,CRN,$0.67,"-6,329","-$4,240","188,344,973",0%,2021-07-06 08:55:24,2021-07-02
235,Smith Julie A,"VP, CTO",P - Purchase,ISBA,$21.85,+5,+$100,136,+3%,2021-07-06 08:43:59,2021-07-01
236,Schwind Jerome E,Pres,P - Purchase,ISBA,$21.85,+18,+$400,"14,673",0%,2021-07-06 08:43:45,2021-07-01
237,Gill Jennifer L,Controller,P - Purchase,ISBA,$21.85,+2,+$50,"1,068",0%,2021-07-06 08:43:31,2021-07-01
238,Collar Mark A,Dir,S - Sale,ATRC,$79.61,"-3,000","-$238,830","86,607",-3%,2021-07-06 07:54:37,2021-07-01
239,Takeda Pharmaceutical Co Ltd,10%,S - Sale,PHAT,$35.16,"-8,326","-$292,727","873,914",-1%,2021-07-06 06:10:07,2021-07-01
240,Carey John F,VP of Operations,S - Sale+OE,TMDX,$33.65,"-1,680","-$56,538",0,-100%,2021-07-06 06:08:42,2021-07-01
241,Temasek Holdings (Private) Ltd,10%,P - Purchase,INTA,$26.00,"+1,920,000","+$49,920,000","22,133,243",+9%,2021-07-06 06:05:38,2021-07-02
0,Miotto Neil,"Dir, 10%",P - Purchase,KLR,$10.00,"+362,368","+$3,623,680",0,-100%,2021-07-02 21:54:41,2017-12-07
1,Offer David Scott,"EVP, GC",S - Sale,FLEX,$17.82,"-6,741","-$120,112","541,583",-1%,2021-07-02 21:21:01,2021-06-30
2,Hartung Michael P,"Pres, Agility Solutions",S - Sale,FLEX,$17.82,"-1,735","-$30,920","130,541",-1%,2021-07-02 21:19:42,2021-06-30
3,Bennett David P,Chief Accounting Officer,S - Sale,FLEX,$17.83,"-3,825","-$68,189","110,175",-3%,2021-07-02 21:18:30,2021-06-30
4,Barbier Francois,Group Pres,S - Sale,FLEX,$17.82,"-10,398","-$185,254","463,062",-2%,2021-07-02 21:17:16,2021-06-30
5,Dable Habib J,"CEO, Pres",S - Sale+OE,XLRN,$126.83,"-100,000","-$12,682,942","98,450",-50%,2021-07-02 21:15:34,2021-07-01
6,Lalljie Paul S,CFO,S - Sale,TWOU,$41.91,"-50,625","-$2,121,694","343,066",-13%,2021-07-02 21:15:00,2021-06-30
7,Pancoast Scott R,Dir,S - Sale,DMTK,$42.41,"-5,000","-$212,051","50,696",-9%,2021-07-02 20:50:08,2021-06-30
8,Dobak John,CEO,S - Sale,DMTK,$41.08,"-12,500","-$513,448","456,347",-3%,2021-07-02 20:47:35,2021-07-01
9,Puckett Dan,CFO,S - Sale+OE,SWAV,$189.55,"-2,500","-$473,884","45,788",-5%,2021-07-02 20:38:19,2021-07-01
10,Singh Vijayanthimala,Chief People Officer,S - Sale,EA,$143.46,-800,"-$114,768","24,818",-3%,2021-07-02 20:27:42,2021-07-01
11,Turner James S. Jr.,Dir,S - Sale,CSTR,$20.29,"-2,500","-$50,725","656,671",0%,2021-07-02 20:27:37,2021-07-01
12,Miele Laura,Chief Studios Officer,S - Sale+OE,EA,$142.31,"-6,531","-$929,456","32,932",-17%,2021-07-02 20:26:02,2021-07-01
13,Bruzzo Chris,EVP,S - Sale,EA,$142.33,"-2,500","-$355,818","25,158",-9%,2021-07-02 20:24:07,2021-07-01
14,Pantelick Steven,CFO,S - Sale+OE,PUBM,$34.97,"-2,557","-$89,418","1,965",-57%,2021-07-02 20:16:57,2021-07-02
15,"Luxor Capital Group, LP",10%,P - Purchase,FTCV,$12.57,"+334,700","+$4,207,560","5,066,869",+7%,2021-07-02 20:15:42,2021-07-01
16,Kumar Mukul,"Pres, Engineering",S - Sale+OE,PUBM,$34.70,"-2,110","-$73,213",0,-100%,2021-07-02 20:14:11,2021-07-02
17,"Luxor Capital Group, LP",10%,P - Purchase,FTCV,$12.08,"+63,701","+$769,721","4,732,169",+1%,2021-07-02 20:12:51,2021-06-30
18,Keller Rodney C. Jr.,CEO,S - Sale+OE,AYRO,$5.10,"-84,403","-$430,239","434,167",-16%,2021-07-02 20:11:05,2021-06-30
19,Chow Thomas C.,"GC, Secretary",S - Sale+OE,PUBM,$36.72,"-6,608","-$242,613",0,-100%,2021-07-02 20:10:08,2021-07-01
20,Meniane David,"CFO, COO",S - Sale,PRTS,$20.24,"-100,000","-$2,024,000","699,610",-13%,2021-07-02 20:07:33,2021-06-30
21,Goel Amar K.,"Chief Innovation Officer, 10%",S - Sale+OE,PUBM,$34.64,"-2,010","-$69,629",0,-100%,2021-07-02 20:07:04,2021-07-02
22,Gomez Alfredo,"VP, GC",S - Sale,PRTS,$20.32,"-25,000","-$508,000","526,880",-5%,2021-07-02 20:05:57,2021-06-30
23,Hirsch Jeffrey K.,Chief Commercial Officer,S - Sale+OE,PUBM,$36.95,"-6,094","-$225,181","1,519",-80%,2021-07-02 20:04:26,2021-07-01
24,Greyson Jay Keith,Dir,S - Sale,PRTS,$20.00,"-20,000","-$400,000","144,156",-12%,2021-07-02 20:04:06,2021-06-30
25,Bertrand William C Jr,COO,S - Sale,ADAP,$4.26,"-4,375","-$18,659","7,329",-37%,2021-07-02 20:01:31,2021-07-02
26,Lunger John,Chief Patient Supply Officer,S - Sale,ADAP,$4.26,"-1,907","-$8,133","3,170",-38%,2021-07-02 20:01:03,2021-07-02
27,Peck Ronald,Chief Medical Officer,S - Sale+OE,ARVN,$76.69,"-20,000","-$1,533,800","2,754",-88%,2021-07-02 20:00:31,2021-06-30
28,Downes Sean P,Dir,S - Sale,UVE,$13.85,"-20,000","-$277,026","1,488,631",-1%,2021-07-02 19:56:31,2021-07-01
29,Afsari Nasym,"GC, Secretary",S - Sale+OE,MEG,$55.00,"-18,578","-$1,021,790","19,768",-48%,2021-07-02 19:53:57,2021-06-30
30,Jansen Colleen,CMO,S - Sale,CHPT,$31.99,"-5,634","-$180,232","419,163",-1%,2021-07-02 19:50:44,2021-06-30
31,McElhatton Todd,CFO,S - Sale+OE,ZUO,$17.13,"-20,348","-$348,596","35,902",-36%,2021-07-02 19:36:28,2021-07-01
32,Shipchandler Khozema,CFO,S - Sale+OE,TWLO,$397.99,"-9,281","-$3,693,750","78,926",-11%,2021-07-02 19:35:41,2021-06-30
33,Traube Robert J.,Chief Revenue Officer,S - Sale+OE,ZUO,$17.13,"-10,947","-$187,541","37,817",-22%,2021-07-02 19:34:50,2021-07-01
34,Pileggi Jennifer,"SVP, GC, Corp. Secretary",S - Sale+OE,ZUO,$17.13,"-7,607","-$130,321","68,738",-10%,2021-07-02 19:32:25,2021-07-01
35,Dubinsky Donna,Dir,S - Sale,TWLO,$400.18,-461,"-$184,483","5,482",-8%,2021-07-02 19:32:19,2021-06-30
36,Sanford Penny,10%,S - Sale+OE,EXPI,$34.84,"-40,000","-$1,393,610","28,144,650",0%,2021-07-02 19:31:34,2021-06-30
37,"Tc Group Cayman Investment Holdings, L.P.",10%,S - Sale+OE,ZI,$52.44,"-71,615","-$3,755,145",0,-100%,2021-07-02 19:31:01,2021-06-30
38,Carlyle Group Management L.L.C.,10%,S - Sale+OE,ZI,$52.44,"-71,615","-$3,755,145",0,-100%,2021-07-02 19:30:43,2021-06-30
39,Hu George,COO,S - Sale,TWLO,$394.72,"-1,212","-$478,401","92,021",-1%,2021-07-02 19:24:29,2021-06-30
40,Ledoux Mark A,"CEO, COB, 10%",S - Sale,NAII,$16.52,"-16,095","-$265,834","797,014",-2%,2021-07-02 19:23:55,2021-06-30
41,Smith Karyn,"GC, Secretary",S - Sale,TWLO,$394.76,-476,"-$187,908","30,718",-2%,2021-07-02 19:22:27,2021-06-30
42,Anderson Scott I,Dir,S - Sale,KTOS,$28.73,"-7,333","-$210,657","114,401",-6%,2021-07-02 19:22:21,2021-07-01
43,Friedman Gavin,"EVP, People, Legal",S - Sale,TRUP,$115.60,-400,"-$46,240","2,026",-16%,2021-07-02 19:22:08,2021-07-01
44,Rawlings Darryl,CEO,S - Sale,TRUP,$115.81,"-4,000","-$463,239","995,222",0%,2021-07-02 19:21:33,2021-06-30
45,Hornbuckle William,"CEO, Pres",S - Sale,MGM,$43.07,"-50,000","-$2,153,350","282,632",-15%,2021-07-02 19:16:23,2021-07-01
46,Dhanak Dashyant,"EVP, Chief Scientific Officer",S - Sale,INCY,$84.09,-396,"-$33,300","26,149",-1%,2021-07-02 19:15:24,2021-07-01
47,Little Teri A.,"SVP, CLO",S - Sale,AMAT,$138.03,"-13,500","-$1,863,405","112,885",-11%,2021-07-02 19:11:21,2021-07-02
48,Tahl Cindy,"GC, Secretary",S - Sale+OE,FATE,$85.24,"-55,534","-$4,733,743","108,048",-34%,2021-07-02 19:08:59,2021-07-01
49,Durn Daniel,"SVP, CFO",S - Sale,AMAT,$138.83,"-6,000","-$832,953","351,571",-2%,2021-07-02 19:08:23,2021-07-01
50,Yi Steven,See Remarks,S - Sale,MAX,$41.31,"-45,000","-$1,858,889","177,677",-20%,2021-07-02 19:04:58,2021-06-30
51,Nonko Eugene,See Remarks,S - Sale,MAX,$41.30,"-45,000","-$1,858,462","194,639",-19%,2021-07-02 19:04:40,2021-06-30
52,Perine Robert,"VP, PRODUCT",S - Sale+OE,MAX,$41.51,"-11,214","-$465,493","24,000",-32%,2021-07-02 19:04:23,2021-07-01
53,Mikalis Brian,See Remarks,S - Sale+OE,MAX,$41.66,"-4,249","-$177,013","10,209",-29%,2021-07-02 19:03:56,2021-07-01
54,Hoffman Edward J,"Sr. EVP, GC",S - Sale+OE,RDN,$22.42,"-11,030","-$247,293","117,939",-9%,2021-07-02 19:01:58,2021-07-01
55,Rodensky Michael W,VP,S - Sale,SMTC,$68.72,"-1,000","-$68,721","6,239",-14%,2021-07-02 19:01:32,2021-07-02
56,Shetty Anil,"VP Methode, Pres Dabir Surf.",S - Sale+OE,MEI,$49.13,"-11,803","-$579,838","108,510",-10%,2021-07-02 19:00:44,2021-06-30
57,Patel Amit N,Chief Accounting Officer,S - Sale,MEI,$49.30,"-1,000","-$49,300","7,807",-11%,2021-07-02 19:00:36,2021-06-30
58,O'Sullivan Michael J.,GC,S - Sale,SNAP,$67.92,"-6,000","-$407,493","1,274,571",0%,2021-07-02 19:00:28,2021-06-30
59,Johnson Belinda J.,Dir,S - Sale+OE,ABNB,$145.71,"-25,000","-$3,642,750","199,327",-11%,2021-07-02 19:00:18,2021-06-30
60,Unterman Thomas,Dir,S - Sale+OE,BL,$113.05,-477,"-$53,925","92,990",-1%,2021-07-02 18:58:56,2021-07-02
61,Kothandaraman Badrinarayanan,"Pres, CEO",S - Sale,ENPH,$183.18,"-30,000","-$5,495,490","1,016,304",-3%,2021-07-02 18:56:46,2021-06-30
62,Angrick William P III,"COB, CEO, 10%",S - Sale+OE,LQDT,$25.22,"-101,900","-$2,569,500","6,991,263",-1%,2021-07-02 18:50:01,2021-06-30
63,Stoecker Dean,"Dir, 10%",S - Sale+OE,AYX,$84.08,"-20,000","-$1,681,695","216,496",-8%,2021-07-02 18:47:34,2021-07-01
64,Ault Milton C III,10%,P - Purchase,ALZN,$7.53,"+26,000","+$195,661","30,292,055",0%,2021-07-02 18:43:46,2021-07-01
65,Keenan Katharine A,Pres,S - Sale,BXMT,$31.91,"-1,916","-$61,140","87,315",-2%,2021-07-02 18:24:26,2021-06-30
66,Weller Timothy,CEO,S - Sale+OE,MSP,$27.87,"-24,677","-$687,748",0,-100%,2021-07-02 18:18:58,2021-06-30
67,Eberwein Jeffrey E.,CEO,P - Purchase,HSON,$18.20,"+1,500","+$27,300","239,475",+1%,2021-07-02 18:17:11,2021-06-30
68,Coy Debra,Dir,P - Purchase,GWRS,$17.01,+24,+$407,"16,739",0%,2021-07-02 18:14:23,2021-06-30
69,Yabuki Jeffery W,Dir,P - Purchase,S,$35.00,"+10,000","+$350,000","10,000",New,2021-07-02 18:12:11,2021-07-02
70,Krygier Christopher D,Chief Strategy Officer,P - Purchase,GWRS,$16.91,+4,+$62,"30,341",0%,2021-07-02 18:11:29,2021-06-30
71,Begley Charlene T,Dir,P - Purchase,S,$35.00,"+10,000","+$350,000","10,000",New,2021-07-02 18:08:42,2021-07-02
72,Hughes Aaron,Dir,P - Purchase,S,$35.00,"+1,450","+$50,750","1,450",New,2021-07-02 18:05:23,2021-07-02
73,Singh Jesse G,"CEO, Pres",S - Sale,AZEK,$41.72,"-50,000","-$2,086,076","2,061,890",-2%,2021-07-02 18:03:35,2021-07-01
74,Agarwal Amit,Chief Product Officer,S - Sale+OE,DDOG,$104.72,"-21,000","-$2,199,185","173,297",-11%,2021-07-02 18:02:36,2021-06-30
75,McDonald John T,CEO,S - Sale+OE,UPLD,$41.58,"-52,740","-$2,192,782","1,591,445",-3%,2021-07-02 18:01:53,2021-07-02
76,Chase Adam,"Pres, CEO",S - Sale,CCF,$103.71,"-1,000","-$103,710","338,434",0%,2021-07-02 18:01:44,2021-07-01
77,Scheinman Daniel,Dir,P - Purchase,S,$35.00,"+10,000","+$350,000","10,000",New,2021-07-02 18:01:44,2021-07-02
78,"Idea Men, LLC",10%,S - Sale+OE,GDRX,$35.45,"-524,779","-$18,602,872",0,-100%,2021-07-02 18:01:22,2021-06-30
79,Burrell Terry-Ann,CFO,S - Sale+OE,BEAM,$122.00,"-30,000","-$3,660,000","24,809",-55%,2021-07-02 18:01:02,2021-06-30
80,Grant Christian,"VP, Chief Accounting Officer",P - Purchase,SCWX,$18.92,"+1,300","+$24,600","43,852",+3%,2021-07-02 17:57:58,2021-06-30
81,Azad Babak,See Remarks,S - Sale+OE,GDRX,$34.92,"-49,584","-$1,731,416",0,-100%,2021-07-02 17:57:08,2021-07-01
82,Butterfield Shelby J,10%,S - Sale,NNI,$75.47,"-15,000","-$1,132,073","3,304,610",0%,2021-07-02 17:47:05,2021-06-30
83,Chappell Dale,"Chief Scientific Officer, 10%",S - Sale,HGEN,$17.19,"-463,096","-$7,959,379","10,973,151",-4%,2021-07-02 17:44:18,2021-06-30
84,Shaw David E,10%,S - Sale,SDGR,$76.03,"-60,188","-$4,576,226","6,479,922",-1%,2021-07-02 17:42:29,2021-07-01
85,Nash Huw M.,"COO, CBO",S - Sale+OE,STOK,$33.33,"-5,700","-$189,987",0,-100%,2021-07-02 17:41:05,2021-07-01
86,Monheit Barry M,Dir,S - Sale,SWBI,$32.24,"-10,000","-$322,376","77,232",-11%,2021-07-02 17:38:14,2021-06-30
87,Head Tyler W. K.,Dir,S - Sale,ELVT,$3.63,"-74,861","-$271,510","146,751",-34%,2021-07-02 17:35:55,2021-06-30
88,Crockett Thomas Andrew,CEO,S - Sale,KALV,$24.15,"-10,000","-$241,477","134,670",-7%,2021-07-02 17:35:07,2021-07-01
89,Cakebread Steven,Dir,S - Sale+OE,BILL,$180.44,"-2,000","-$360,882",0,-100%,2021-07-02 17:32:33,2021-07-01
90,Wedbush Securities Inc,"Possible Member of 10% Group, 10%",P - Purchase,JMP,$6.08,"+8,130","+$49,434","4,378,500",0%,2021-07-02 17:28:29,2021-06-30
91,Young Douglas L,"EVP, Pres, COO RHC",S - Sale,LII,$346.84,"-1,576","-$546,615","53,641",-3%,2021-07-02 17:27:49,2021-07-01
92,Russell Austin,"Chairperson, Pres, CEO, 10%",S - Sale+OE,LAZR,$21.00,"-10,500,000","-$220,500,000",0,-100%,2021-07-02 17:19:06,2021-07-01
93,Rothberg Richard J,"GC, Secretary",S - Sale,DELL,$100.38,"-30,000","-$3,011,242","110,024",-21%,2021-07-02 17:18:24,2021-06-30
94,"Jacobs Private Equity, LLC","Dir, 10%",S - Sale,XPO,$133.86,"-2,875,000","-$384,847,500","15,133,201",-16%,2021-07-02 17:16:09,2021-07-01
95,Flynn James E,"* Director by Deputization, 10%",P - Purchase,LRMR,$8.75,"+685,710","+$5,999,963","5,830,249",+13%,2021-07-02 17:07:18,2021-06-30
96,Meggs Jason M.,CFO,S - Sale+OE,SYNH,$90.00,"-4,668","-$420,120","60,701",-7%,2021-07-02 17:04:46,2021-06-30
97,Nehra John M,Dir,P - Purchase,CVRX,$18.03,"+27,877","+$502,647","28,366",>999%,2021-07-02 17:04:31,2021-06-30
98,Jain Mudit K.,Dir,P - Purchase,CVRX,$18.03,"+223,222","+$4,025,096","934,383",+31%,2021-07-02 17:04:05,2021-07-01
99,Pardo Geoffrey B,Dir,P - Purchase,CVRX,$18.00,"+275,000","+$4,950,000","1,829,022",+18%,2021-07-02 17:03:02,2021-07-02
100,Pape Ryan,"Pres, CEO",S - Sale,XPEL,$83.85,"-8,000","-$670,766","1,251,602",-1%,2021-07-02 17:02:52,2021-06-30
101,Sherman Jeffrey W,"EVP, Chief Medical Officer",S - Sale,HZNP,$95.00,"-60,076","-$5,707,362","204,690",-23%,2021-07-02 17:02:48,2021-07-01
102,Herrmann John A III,"EVP, GC",S - Sale+OE,NVAX,$212.66,"-2,896","-$615,848",706,-80%,2021-07-02 17:01:48,2021-06-30
103,Chaouat-Fix Mihal,Chief Product Officer,S - Sale+OE,ATER,$33.16,"-4,488","-$148,805","259,025",-2%,2021-07-02 17:01:36,2021-03-15
104,Chaouat-Fix Mihal,Chief Product Officer,S - Sale+OE,ATER,$34.02,"-96,587","-$3,285,603","259,025",-27%,2021-07-02 17:01:19,2021-03-10
105,Pascal Tomer,Chief Revenue Officer,S - Sale,ATER,$14.68,"-56,819","-$833,972","173,539",-25%,2021-07-02 17:01:12,2021-05-19
106,Walbert Timothy P,"COB, Pres, CEO",S - Sale,HZNP,$93.86,"-25,000","-$2,346,380","871,881",-3%,2021-07-02 17:01:11,2021-06-30
107,Pascal Tomer,Chief Revenue Officer,S - Sale+OE,ATER,$30.28,"-40,000","-$1,211,042","230,358",-15%,2021-07-02 17:01:04,2021-03-15
108,Pascal Tomer,Chief Revenue Officer,S - Sale+OE,ATER,$34.19,"-108,734","-$3,717,287","230,358",-32%,2021-07-02 17:01:01,2021-03-10
109,Zahut Roi Zion,CTO,S - Sale,ATER,$31.79,"-8,439","-$268,317","140,671",-6%,2021-07-02 17:01:00,2021-03-16
110,Mo Michael,CEO,S - Sale,KULR,$2.51,"-65,075","-$163,501","21,334,925",0%,2021-07-02 17:00:53,2021-06-30
111,Sasaki Gail M,"VP, CFO",S - Sale,NLST,$3.40,"-50,000","-$170,170","524,545",-9%,2021-07-02 17:00:47,2021-06-30
112,Risico Joseph A,GC,S - Sale+OE,ATER,$31.16,"-150,280","-$4,683,138","140,129",-52%,2021-07-02 17:00:46,2021-03-15
113,Medel Roger Md,Dir,S - Sale,MD,$30.31,"-100,000","-$3,031,000","1,222,542",-8%,2021-07-02 17:00:32,2021-07-01
114,Owens Bradley D.,GC,S - Sale+OE,ZANDZ,$122.00,"-2,250","-$274,500",968,-70%,2021-07-02 16:55:50,2021-07-01
115,Ansari Anousheh,Dir,S - Sale,JBL,$57.96,-500,"-$28,982","37,500",-1%,2021-07-02 16:55:22,2021-07-01
116,Lacey Eleanor B,"GC, Corporate Secretary",S - Sale+OE,ASAN,$62.77,"-20,000","-$1,255,307","129,359",-13%,2021-07-02 16:52:54,2021-07-01
117,McInerney Ryan,Pres,S - Sale+OE,V,$234.20,"-11,194","-$2,621,635","139,715",-7%,2021-07-02 16:51:16,2021-07-01
118,Burnison Gary D,CEO,S - Sale,KFY,$72.52,"-9,882","-$716,621","318,096",-3%,2021-07-02 16:49:21,2021-06-30
